index,id,url,image_url
98,55c650ce08298d8be21679bb,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#37,https://assets.vogue.com/photos/55c650ce08298d8be21679bb/master/
102,55c650ce08298d8be21679bc,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#38,https://assets.vogue.com/photos/55c650ce08298d8be21679bc/master/
104,55c650ce08298d8be21679bd,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#39,https://assets.vogue.com/photos/55c650ce08298d8be21679bd/master/
106,55c650ce08298d8be21679be,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#40,https://assets.vogue.com/photos/55c650ce08298d8be21679be/master/
108,55c650ce08298d8be21679bf,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#41,https://assets.vogue.com/photos/55c650ce08298d8be21679bf/master/
111,55c650ce08298d8be21679c0,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#42,https://assets.vogue.com/photos/55c650ce08298d8be21679c0/master/
113,55c650ce08298d8be21679c1,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#43,https://assets.vogue.com/photos/55c650ce08298d8be21679c1/master/
116,55c650ce08298d8be21679c2,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#44,https://assets.vogue.com/photos/55c650ce08298d8be21679c2/master/
118,55c650ce08298d8be21679c3,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#45,https://assets.vogue.com/photos/55c650ce08298d8be21679c3/master/
121,55c650ce08298d8be21679c4,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#46,https://assets.vogue.com/photos/55c650ce08298d8be21679c4/master/
125,55c650ce08298d8be21679c5,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#47,https://assets.vogue.com/photos/55c650ce08298d8be21679c5/master/
126,55c650ce08298d8be2167a8e,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#48,https://assets.vogue.com/photos/55c650ce08298d8be2167a8e/master/
128,55c650ce08298d8be2167a8f,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/collection#49,https://assets.vogue.com/photos/55c650ce08298d8be2167a8f/master/
130,gallery-detail,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#1,https://assets.vogue.com/photos/gallery-detail/master/
131,55c650ce08298d8be2167ab8,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#1,https://assets.vogue.com/photos/55c650ce08298d8be2167ab8/master/
132,55c650ce08298d8be2167ab9,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#2,https://assets.vogue.com/photos/55c650ce08298d8be2167ab9/master/
133,55c650ce08298d8be2167aba,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#3,https://assets.vogue.com/photos/55c650ce08298d8be2167aba/master/
134,55c650ce08298d8be2167abb,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#4,https://assets.vogue.com/photos/55c650ce08298d8be2167abb/master/
135,55c650ce08298d8be2167abc,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#5,https://assets.vogue.com/photos/55c650ce08298d8be2167abc/master/
136,55c650ce08298d8be2167abd,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#6,https://assets.vogue.com/photos/55c650ce08298d8be2167abd/master/
137,55c650ce08298d8be2167abe,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#7,https://assets.vogue.com/photos/55c650ce08298d8be2167abe/master/
138,55c650ce08298d8be2167abf,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#8,https://assets.vogue.com/photos/55c650ce08298d8be2167abf/master/
139,55c650ce08298d8be2167ac0,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#9,https://assets.vogue.com/photos/55c650ce08298d8be2167ac0/master/
140,55c650ce08298d8be2167ac1,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#10,https://assets.vogue.com/photos/55c650ce08298d8be2167ac1/master/
141,55c650ce08298d8be2167ac2,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#11,https://assets.vogue.com/photos/55c650ce08298d8be2167ac2/master/
142,55c650ce08298d8be2167ac3,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#12,https://assets.vogue.com/photos/55c650ce08298d8be2167ac3/master/
143,55c650ce08298d8be2167ac4,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#13,https://assets.vogue.com/photos/55c650ce08298d8be2167ac4/master/
144,55c650ce08298d8be2167ac5,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#14,https://assets.vogue.com/photos/55c650ce08298d8be2167ac5/master/
145,55c650ce08298d8be2167ac6,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#15,https://assets.vogue.com/photos/55c650ce08298d8be2167ac6/master/
146,55c650ce08298d8be2167ac7,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#16,https://assets.vogue.com/photos/55c650ce08298d8be2167ac7/master/
147,55c650ce08298d8be2167ac8,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#17,https://assets.vogue.com/photos/55c650ce08298d8be2167ac8/master/
148,55c650ce08298d8be2167ac9,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#18,https://assets.vogue.com/photos/55c650ce08298d8be2167ac9/master/
149,55c650ce08298d8be2167aca,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#19,https://assets.vogue.com/photos/55c650ce08298d8be2167aca/master/
150,55c650ce08298d8be2167acb,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#20,https://assets.vogue.com/photos/55c650ce08298d8be2167acb/master/
151,55c650ce08298d8be2167acc,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#21,https://assets.vogue.com/photos/55c650ce08298d8be2167acc/master/
152,55c650ce08298d8be2167acd,/fashion-shows/spring-2012-ready-to-wear/jil-sander/slideshow/details#22,https://assets.vogue.com/photos/55c650ce08298d8be2167acd/master/
